ribosome_profiling_counts,ribosome_profiling_rpk,RNA-seq_counts,RNA-seq_rpk,transcript_ID,ribosome_profiling_tpm,RNA-seq_tpm,translation_efficiency
49,6.875263084,3,0.420934475,FBtr0078050,1.75297632,1.15226831,1.521326504
0,0,0,0,FBtr0078099,0,0,
2,2.06185567,0,0,FBtr0078098,0.525708489,0,inf
0,0,0,0,FBtr0078052,0,0,
0,0,133.2214291,77.95285494,FBtr0330695,0,213.3885672,0
1,0.428632662,0,0,FBtr0330696,0.109287877,0,inf
1,0.412201154,0.266666667,0.109920308,FBtr0078096,0.105098358,0.300896446,0.349284146
130,68.24146982,2,1.049868766,FBtr0330651,17.39943318,2.873916445,6.054258538
133,69.16276651,2,1.040041602,FBtr0078095,17.63433492,2.847015512,6.193972196
133,67.44421907,2,1.014198783,FBtr0078094,17.19615926,2.77627324,6.193972196
1,0.553709856,0,0,FBtr0078053,0.141178636,0,inf
2,0.465983225,0.133333333,0.031065548,FBtr0331204,0.118811098,0.085039,1.397136586
2,0.450856628,0.133333333,0.030057109,FBtr0078093,0.114954291,0.082278492,1.397136586
382,107.1829405,3,0.841750842,FBtr0078054,27.3282861,2.304213312,11.86013724
568,120.5688813,12.14666667,2.578362697,FBtr0089488,30.74128092,7.058024007,4.355508126
525,152.972028,10.58666667,3.084693085,FBtr0089489,39.0030664,8.444055552,4.618996898
144,43.28223625,109.3685376,32.87302001,FBtr0078055,11.03561191,89.98678296,0.12263592
231,189.4995898,6.014774775,4.934187674,FBtr0078090,48.31644833,13.50687205,3.577175243
1419,2361.064892,39,64.89184692,FBtr0078056,601.99745,177.6352931,3.388951821
1420,1848.958333,40.93091936,53.29546792,FBtr0331932,471.426349,145.8913024,3.231353351
142,255.3956835,6.251515152,11.24373229,FBtr0078089,65.11788418,30.77865364,2.115683322
0,0,0,0,FBtr0078057,0,0,
0,0,0,0,FBtr0078058,0,0,
49,7.592190889,90.22387155,13.97952767,FBtr0329832,1.935770411,38.26763472,0.050585055
53,7.943645084,90.22387155,13.52276252,FBtr0078059,2.0253802,37.01728335,0.054714447
422,155.4900516,56.10666667,20.6730533,FBtr0331233,39.6450834,56.59052804,0.700560408
434,156.3963964,56.92,20.51171171,FBtr0078087,39.87617288,56.1488707,0.710186552
403,207.9463364,4.933333333,2.545579635,FBtr0304741,53.0197898,6.968283476,7.608730324
419,205.2915238,7.306666667,3.579944472,FBtr0331232,52.34289588,9.79975938,5.341242969
408,197.7702375,7.093333333,3.438358378,FBtr0078088,50.42520393,9.41218084,5.357441043
246,165.3225806,5,3.360215054,FBtr0078060,42.15206974,9.198270881,4.582608001
1,0.391542678,0,0,FBtr0331230,0.099831095,0,inf
1,0.380372765,0,0,FBtr0078061,0.096983118,0,inf
1,0.378501136,0,0,FBtr0331231,0.096505911,0,inf
14,2.249357326,0,0,FBtr0310035,0.573515527,0,inf
17,2.474887174,0,0,FBtr0310034,0.63101856,0,inf
182,70.21604938,5.12,1.975308642,FBtr0078062,17.902889,5.407220571,3.310922638
106,24.98821311,1,0.23573786,FBtr0333012,6.371210136,0.645310093,9.873098538
119,19.55950033,3,0.493096647,FBtr0333013,4.987058747,1.349805431,3.694650082
181,88.68201862,6,2.939735424,FBtr0078083,22.61113163,8.047247666,2.809796911
181,76.66243117,6,2.541296061,FBtr0310030,19.54651405,6.956557597,2.809796911
181,55.81251927,6,1.85013876,FBtr0078084,14.23044085,5.06457986,2.809796911
119,25.56940266,1,0.21486893,FBtr0310027,6.519395233,0.588183372,11.08395025
106,22.30639731,1,0.21043771,FBtr0078063,5.68743127,0.576053328,9.873098538
106,23.65015618,1,0.223114681,FBtr0329895,6.030047612,0.610755336,9.873098538
488,358.0337491,5.933333333,4.353142578,FBtr0310028,91.28736982,11.91631606,7.660703975
488,377.1251932,8.08,6.244204019,FBtr0078082,96.15508892,17.09291789,5.625434437
487,440.7239819,6.919279279,6.261791203,FBtr0310029,112.3707841,17.14106114,6.55564922
488,440.0360685,7.08,6.384129847,FBtr0078081,112.1953878,17.47595161,6.419987324
150,86.40552995,13,7.488479263,FBtr0078080,22.03069847,20.49900368,1.07472045
2,0.448329971,8.88,1.990585071,FBtr0344014,0.114310073,5.44903835,0.020978027
10,6.527415144,0,0,FBtr0078064,1.664286011,0,inf
2,1.247660636,0.346666667,0.216261177,FBtr0112854,0.318114307,0.591994517,0.537360225
2,0.825423029,0.346666667,0.143073325,FBtr0078079,0.210456968,0.391649695,0.537360225
2,0.691562932,0.346666667,0.119870908,FBtr0345429,0.176326844,0.328135273,0.537360225
0,0,0,0,FBtr0078078,0,0,
0,0,2270.671735,427.7829192,FBtr0303763,0,1171.015279,0
298,349.3552169,9.824324324,11.51737904,FBtr0078066,89.07461647,31.52773575,2.825277945
1,0.371333086,2.653333333,0.985270454,FBtr0332341,0.094678283,2.697084676,0.035103934
1,0.368188513,2.653333333,0.976926853,FBtr0078076,0.093876516,2.674244857,0.035103934
1,0.35971223,2.653333333,0.954436451,FBtr0332342,0.09171533,2.612679508,0.035103934
1,0.314169023,2.653333333,0.833595141,FBtr0345577,0.080103241,2.281887852,0.035103934
56,24.24242424,11.2913242,4.888019135,FBtr0078067,6.18105738,13.38049004,0.461945516
207,130.6818182,30.68945859,19.3746582,FBtr0078075,33.31976244,53.03629426,0.628244543
738,177.6173285,2,0.481347774,FBtr0078068,45.2868446,1.317644002,34.36956001
738,169.8113208,2.24,0.515416475,FBtr0332340,43.29655759,1.410903849,30.68710715
37,30.03246753,3.56,2.88961039,FBtr0078074,7.65733671,7.910035126,0.968053439
63,61.04651163,2.066666667,2.002583979,FBtr0310022,15.56494464,5.481884228,2.839342093
65,59.46935041,4,3.659652333,FBtr0078069,15.16281802,10.01795211,1.513564634
0,0,16.53654484,24.57138906,FBtr0333746,0,67.26185346,0
0,0,16.53654484,21.14647678,FBtr0346726,0,57.88648002,0
1,0.981354269,16.53654484,16.22820887,FBtr0346650,0.250214541,44.42318683,0.005632521
0,0,0,0,FBtr0078070,0,0,
0,0,0.08,0.071174377,FBtr0347398,0,0.194833126,0
0,0,0.08,0.033869602,FBtr0343220,0,0.092714832,0
0,0,0.08,0.033869602,FBtr0343221,0,0.092714832,0
